Field1,Field2,Lag,P-Value
DAQ Status Block rate_P1,Data Driven Neutron-Antineutron rate_P1,1,1.503807648214174e-40
DAQ Status Block rate_P1,Data Driven Slow Monople avg decision_P1,1,0.016384603701172295
DAQ Status Block rate_P1,Data Driven Slow Monople avg delay_P1,1,6.445454761588709e-38
DAQ Status Block rate_P1,Data Driven Slow Monople avg length_P1,1,3.1248909727562706e-53
DAQ Status Block rate_P1,Data Driven Slow Monople rate_P1,1,4.85845679128836e-17
DAQ Status Block rate_P1,Data Driven Upmu avg decision_P1,1,0.0067378449475007495
DAQ Status Block rate_P1,Data Driven Upmu avg delay_P1,1,1.7605314609653585e-43
DAQ Status Block rate_P1,Data Driven Upmu avg length_P1,1,0.001631435516744817
DAQ Status Block rate_P1,Data Driven Upmu rate_P1,1,7.516344821137965e-38
DAQ Status Block rate_P1,NuMI Beam Spill Trigger rate_P1,2,1.2378089378268888e-05
DAQ Status Block rate_P1,Overall Trigger Rate_P1,1,1.4139250071653307e-28
DAQ Status Block rate_P1,Periodic Calibration Pulser rate_P1,1,5.718319408259499e-165
DAQ Status Block rate_P1,SN message delay_P1,1,3.6288562272950174e-103
DAQ Status Block rate_P1,SN message rate_P1,1,0.002031323008457427
DAQ Status Block rate_P1,SN processing delay_P1,1,8.252025145657269e-35
DAQ Status Block rate_P1,SNEWS Beat Fast rate_P1,1,5.35162789325602e-26
DAQ Status Block rate_P1,Spill Trigger Avg Delay_P1,3,2.7699813078804193e-29
DAQ Status Block rate_P1,Spill Trigger Max Delay_P1,3,2.6121117901353266e-55
DAQ Status Block rate_P1,Spill Trigger Min Delay_P1,1,1.2712077865296536e-06
DAQ Status Block rate_P1,Data Driven Sun avg length_P1,2,3.599745999004131e-21
Data Driven Contained Vertex avg decision_P1,Data Driven Contained Vertex avg delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Contained Vertex avg length_P1,1,1.897959200228353e-216
Data Driven Contained Vertex avg decision_P1,Data Driven Contained Vertex rate_P1,1,1.3720979002577495e-31
Data Driven Contained Vertex avg decision_P1,Data Driven Energy avg decision_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Energy avg delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Energy avg length_P1,3,0.011909093569920735
Data Driven Contained Vertex avg decision_P1,Data Driven Energy rate_P1,1,1.854134638174282e-85
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole Neural Network rate_P1,3,0.04514932079697365
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole avg decision_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole avg delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole avg length_P1,1,7.662121582020367e-32
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole rate_P1,1,2.596646662033421e-46
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon avg decision_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon avg delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon avg length_P1,1,9.055956215014395e-55
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon rate_P1,1,7.565324954304455e-68
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron avg decision_P1,1,4.613822996009348e-39
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,1,4.6818130090794986e-21
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron rate_P1,1,1.2493454596956731e-27
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople avg decision_P1,1,1.884982344843941e-30
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople avg delay_P1,1,1.5220053835175048e-285
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople avg length_P1,1,1.3525863530264164e-162
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople rate_P1,1,4.183582513744416e-64
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu avg decision_P1,1,1.8091708437692476e-41
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu avg delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu avg length_P1,1,1.9386724833987205e-52
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu rate_P1,1,2.2445832248597957e-155
Data Driven Contained Vertex avg decision_P1,LIGO Beat Fast rate_P1,1,1.552073978553373e-18
Data Driven Contained Vertex avg decision_P1,Overall Trigger Rate_P1,1,1.1501194517646685e-43
Data Driven Contained Vertex avg decision_P1,Periodic Calibration Pulser rate_P1,1,3.7859586258662887e-94
Data Driven Contained Vertex avg decision_P1,SN datablock process rate_P1,1,2.050265992574857e-18
Data Driven Contained Vertex avg decision_P1,SN message delay_P1,1,4.2571554264871334e-09
Data Driven Contained Vertex avg decision_P1,SN message rate_P1,1,5.307175391256522e-41
Data Driven Contained Vertex avg decision_P1,SN processing delay_P1,1,2.9202583744867737e-61
Data Driven Contained Vertex avg decision_P1,SN triggering delay_P1,1,1.52439934315245e-28
Data Driven Contained Vertex avg decision_P1,SNEWS Beat Fast rate_P1,1,5.915220220344055e-22
Data Driven Contained Vertex avg decision_P1,SNEWS Trigger Avg Delay_P1,2,6.333334551638195e-06
Data Driven Contained Vertex avg decision_P1,SNEWS Trigger Max Delay_P1,1,0.01804463031138498
Data Driven Contained Vertex avg decision_P1,SNEWS Trigger Min Delay_P1,1,0.0
Data Driven Contained Vertex avg decision_P1,Spill Trigger Avg Delay_P1,1,7.639213748127433e-06
Data Driven Contained Vertex avg decision_P1,Spill Trigger Max Delay_P1,1,0.02475427043329777
Data Driven Contained Vertex avg decision_P1,Spill Trigger Min Delay_P1,1,5.44927127642434e-09
Data Driven Contained Vertex avg decision_P1,Spill Trigger Std Delay_P1,2,0.0035884959834683585
Data Driven Contained Vertex avg decision_P1,Data Driven Sun avg decision_P1,2,0.03591786413252769
Data Driven Contained Vertex avg decision_P1,Data Driven Sun avg delay_P1,2,0.03718443842568267
Data Driven Contained Vertex avg decision_P1,Data Driven Sun avg length_P1,2,0.00011726509485734198
Data Driven Contained Vertex avg delay_P1,Data Driven Contained Vertex avg length_P1,1,6.948300901462027e-90
Data Driven Contained Vertex avg delay_P1,Data Driven Contained Vertex rate_P1,1,1.215202191254597e-32
Data Driven Contained Vertex avg delay_P1,Data Driven Energy avg decision_P1,1,2.142628332273687e-06
Data Driven Contained Vertex avg delay_P1,Data Driven Energy avg delay_P1,1,9.651305211839528e-07
Data Driven Contained Vertex avg delay_P1,Data Driven Energy rate_P1,1,5.91823359930698e-34
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole Neural Network rate_P1,1,0.0239977719909205
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole avg decision_P1,1,4.743396942691178e-19
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole avg delay_P1,1,6.819267354686686e-19
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole avg length_P1,1,4.125656582789945e-28
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole rate_P1,1,1.1258160864585255e-28
Data Driven Contained Vertex avg delay_P1,Data Driven Horizontal Muon avg decision_P1,1,6.414915680806866e-05
Data Driven Contained Vertex avg delay_P1,Data Driven Horizontal Muon avg delay_P1,1,3.491470946420157e-18
Data Driven Contained Vertex avg delay_P1,Data Driven Horizontal Muon avg length_P1,1,2.5035929249853538e-46
Data Driven Contained Vertex avg delay_P1,Data Driven Horizontal Muon rate_P1,1,1.3873357495043793e-35
Data Driven Contained Vertex avg delay_P1,Data Driven Neutron-Antineutron avg decision_P1,1,2.4877184378065447e-36
Data Driven Contained Vertex avg delay_P1,Data Driven Neutron-Antineutron avg delay_P1,1,4.390866094032066e-17
Data Driven Contained Vertex avg delay_P1,Data Driven Neutron-Antineutron avg length_P1,1,1.2965128646823797e-24
Data Driven Contained Vertex avg delay_P1,Data Driven Neutron-Antineutron rate_P1,1,2.3936898922401582e-30
Data Driven Contained Vertex avg delay_P1,Data Driven Slow Monople avg decision_P1,1,2.6170179156345567e-28
Data Driven Contained Vertex avg delay_P1,Data Driven Slow Monople avg delay_P1,1,9.702689320886245e-20
Data Driven Contained Vertex avg delay_P1,Data Driven Slow Monople avg length_P1,1,1.2735893462789097e-32
Data Driven Contained Vertex avg delay_P1,Data Driven Slow Monople rate_P1,1,1.322307885213532e-31
Data Driven Contained Vertex avg delay_P1,Data Driven Upmu avg decision_P1,1,2.9523246543903594e-35
Data Driven Contained Vertex avg delay_P1,Data Driven Upmu avg delay_P1,1,6.374831446503173e-10
Data Driven Contained Vertex avg delay_P1,Data Driven Upmu avg length_P1,1,1.824609507553451e-43
Data Driven Contained Vertex avg delay_P1,Data Driven Upmu rate_P1,1,6.052790477888942e-25
Data Driven Contained Vertex avg delay_P1,LIGO Beat Fast rate_P1,1,2.6361565209152875e-18
Data Driven Contained Vertex avg delay_P1,Overall Trigger Rate_P1,1,1.8215800611764218e-18
Data Driven Contained Vertex avg delay_P1,Periodic Calibration Pulser rate_P1,1,1.5135635929946096e-25
Data Driven Contained Vertex avg delay_P1,SN datablock process rate_P1,1,4.545533602081768e-11
Data Driven Contained Vertex avg delay_P1,SN message delay_P1,1,5.708630907015991e-31
Data Driven Contained Vertex avg delay_P1,SN message rate_P1,1,3.678796226802349e-42
Data Driven Contained Vertex avg delay_P1,SN processing delay_P1,1,5.818809515113854e-47
Data Driven Contained Vertex avg delay_P1,SN triggering delay_P1,1,6.220335735127654e-32
Data Driven Contained Vertex avg delay_P1,SNEWS Beat Fast rate_P1,1,7.223288670694256e-22
Data Driven Contained Vertex avg delay_P1,SNEWS Trigger Min Delay_P1,1,4.046959725922564e-44
Data Driven Contained Vertex avg delay_P1,Spill Trigger Avg Delay_P1,1,4.772101593354918e-08
Data Driven Contained Vertex avg delay_P1,Spill Trigger Max Delay_P1,1,0.00012002343000238426
Data Driven Contained Vertex avg delay_P1,Spill Trigger Min Delay_P1,1,0.0007375734533651641
Data Driven Contained Vertex avg delay_P1,Spill Trigger Std Delay_P1,2,0.013704511750913546
Data Driven Contained Vertex avg delay_P1,Data Driven Sun avg length_P1,2,0.0008514658399246399
Data Driven Contained Vertex avg delay_P1,Data Driven Sun rate_P1,4,0.012762490738872699
Data Driven Contained Vertex avg length_P1,Data Driven Contained Vertex rate_P1,1,0.0012952222443498483
Data Driven Contained Vertex avg length_P1,Data Driven Energy avg decision_P1,1,0.0010359498024816716
Data Driven Contained Vertex avg length_P1,Data Driven Energy avg delay_P1,1,0.0009111801779006046
Data Driven Contained Vertex avg length_P1,Data Driven Energy rate_P1,1,0.0001934893556328506
Data Driven Contained Vertex avg length_P1,Data Driven Fast Monopole avg decision_P1,1,0.00017192129029240923
Data Driven Contained Vertex avg length_P1,Data Driven Fast Monopole avg delay_P1,1,0.00014947124792389672
Data Driven Contained Vertex avg length_P1,Data Driven Fast Monopole rate_P1,1,0.0002749245860168253
