timestamp,pkts_out,pkts_in,bytes_in,bytes_out,disk_total,disk_free,cpu_nice,proc_run,proc_total,cpu_aidle,swap_free,load_fifteen,cpu_user,part_max_used,swap_total,cpu_idle,load_five,mem_free,mem_total,cpu_system,mem_buffers,boottime,cpu_num,mem_cached,cpu_speed,mem_shared,cpu_wio,load_one
2024-02-19 12:29:15,3732.93,11930.03,2109492.75,1153988.25,973.335,915.251,0.0,4.0,868.0,98.5,8386276.0,1.129999999999999,0.3,42.1,8388604.0,98.89333333333336,1.01,23621116.0,32332948.0,1.0,413816.0,1708020913.0,48.0,5093768.0,2800.0,0.0,0.0,0.79
2024-02-19 12:29:30,3732.93,11845.063333333334,1565208.9166666667,1095582.77,973.3350000000002,915.251,0.0,4.0,868.0,98.5,8386276.0,1.13,0.3,42.1,8388604.0,98.6,1.01,23622580.0,32332948.0,1.0,413816.0,1708020913.0,48.0,5099652.0,2800.0,0.0,0.0,0.79
2024-02-19 12:29:45,2490.4206666666664,11675.13,943170.25,978771.81,973.3350000000002,915.251,0.0,4.0,868.0,98.5,8386276.0,1.13,0.3,42.1,8388604.0,98.6,1.024,23625508.0,32332948.0,1.0,413853.3333333333,1708020913.0,48.0,5111420.0,2800.0,0.0,0.0,0.916
2024-02-19 12:30:00,1070.41,10395.07,962585.9773333332,675381.1699999999,973.335,915.251,0.0,4.0,867.5333333333333,98.5,8386276.0,1.125333333333333,0.3,42.1,8388604.0,98.6,1.04,23625669.33333333,32332948.0,1.0,413896.0,1708020913.0,48.0,5111452.0,2800.0,0.0,0.0,1.06
2024-02-19 12:30:15,1096.086,7834.95,984775.38,68599.89,973.3350000000002,915.251,0.0,4.0,867.0,98.5,8386276.0,1.12,0.246666666666666,42.1,8388604.0,98.6,1.035333333333333,23625992.0,32332948.0,0.906666666666666,413899.7333333333,1708020913.0,48.0,5111516.0,2800.0,0.0,0.0,1.050666666666666
2024-02-19 12:30:30,1125.43,7834.95,984775.38,68599.89,973.3350000000002,915.251,0.0,4.0,867.0,98.5,8386276.0,1.12,0.2,42.1,8388604.0,98.64,1.03,23625992.0,32332948.0,0.746666666666666,413904.0,1708020913.0,48.0,5111516.0,2800.0,0.0,0.0,1.04
2024-02-19 12:30:45,1125.43,9072.2,1342588.78,362858.1966666667,973.3350000000002,915.251,0.0,4.0,867.0,98.5,8386276.0,1.12,0.2,42.1,8388604.0,98.7,1.03,23618638.666666668,32332948.0,0.7000000000000001,413904.0,1708020913.0,48.0,5110294.666666667,2800.0,0.0,0.0,1.04
2024-02-19 12:31:00,1806.854,11546.7,1879308.88,951374.8100000002,973.3350000000002,915.251,0.0,4.0,867.0,98.5,8386276.0,1.12,0.2,42.1,8388604.0,98.7,1.03,23603932.0,32332948.0,0.7000000000000001,413934.4,1708020913.0,48.0,5107852.0,2800.0,0.0,0.0,1.04
2024-02-19 12:31:15,2828.99,11546.7,1879308.88,951374.81,973.3350000000002,915.251,0.0,4.0,867.0,98.5,8386276.0,1.128,0.2,42.1,8388604.0,98.7,1.03,23603932.0,32332948.0,0.7000000000000001,413980.0,1708020913.0,48.0,5107852.0,2800.0,0.0,0.0,1.04
2024-02-19 12:31:30,2828.99,10097.504,2107803.003333333,635074.9706666666,973.3350000000002,915.251,0.0,4.0,868.0,98.5,8386276.0,1.14,0.233333333333333,42.1,8388604.0,98.7,1.066,23604387.466666665,32332948.0,0.7000000000000001,413980.0,1708020913.0,48.0,5107928.533333333,2800.0,0.0,0.0,1.164
