Field1,Field2,Cross_Correlation,Lag
Data Driven Fast Monopole avg decision_P1,Data Driven Fast Monopole avg delay_P1,0.9998719454883241,0
Data Driven Fast Monopole avg decision_P1,Data Driven Fast Monopole avg length_P1,0.882452936352667,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Fast Monopole rate_P1,0.8597126039155899,0
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon avg decision_P1,0.9652975506859883,1
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon avg delay_P1,0.9661509539950898,0
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon avg length_P1,0.9416707589593479,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Horizontal Muon rate_P1,0.8633919285425463,0
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron avg decision_P1,0.9667927010930584,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,0.9677755583912871,0
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,0.8310729318931784,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Neutron-Antineutron rate_P1,0.8612436140513422,-3
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople avg decision_P1,0.9428353312470696,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople avg delay_P1,0.9430915332013388,2
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople avg length_P1,0.9126914690567081,1
Data Driven Fast Monopole avg decision_P1,Data Driven Slow Monople rate_P1,0.8076796638453083,1
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu avg decision_P1,0.959190662865336,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu avg delay_P1,0.9591618341551568,1
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu avg length_P1,0.9358123659579494,-6
Data Driven Fast Monopole avg decision_P1,Data Driven Upmu rate_P1,0.8864927302139093,2
Data Driven Fast Monopole avg decision_P1,LIGO Beat Fast rate_P1,0.8342710452937289,-7
Data Driven Fast Monopole avg decision_P1,Overall Trigger Rate_P1,0.8096569904217064,0
Data Driven Fast Monopole avg decision_P1,Periodic Calibration Pulser rate_P1,0.8697083345718204,1
Data Driven Fast Monopole avg decision_P1,SN message delay_P1,0.9556452165241958,-2
Data Driven Fast Monopole avg decision_P1,SN message rate_P1,0.9070091270920944,-6
Data Driven Fast Monopole avg decision_P1,SN processing delay_P1,0.8544477820276118,-1
Data Driven Fast Monopole avg decision_P1,SN triggering delay_P1,0.861266577859777,-7
Data Driven Fast Monopole avg decision_P1,SNEWS Beat Fast rate_P1,0.8598065370349057,-5
Data Driven Fast Monopole avg delay_P1,Data Driven Fast Monopole avg length_P1,0.8838940413367544,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Fast Monopole rate_P1,0.8618765894785438,0
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon avg decision_P1,0.9648738534289222,1
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon avg delay_P1,0.9659456149687771,0
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon avg length_P1,0.9432397266216644,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Horizontal Muon rate_P1,0.8658357464459211,0
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron avg decision_P1,0.9664787258397263,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron avg delay_P1,0.9676970151357883,0
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron avg length_P1,0.8323995642606554,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Neutron-Antineutron rate_P1,0.8643993375671397,-3
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople avg decision_P1,0.9422372406283687,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople avg delay_P1,0.9427582248221736,2
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople avg length_P1,0.9142681382693758,1
Data Driven Fast Monopole avg delay_P1,Data Driven Slow Monople rate_P1,0.8100480860254208,1
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu avg decision_P1,0.9588736594721742,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu avg delay_P1,0.9590258455191817,1
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu avg length_P1,0.9373842437205827,-6
Data Driven Fast Monopole avg delay_P1,Data Driven Upmu rate_P1,0.8879253659919893,2
Data Driven Fast Monopole avg delay_P1,LIGO Beat Fast rate_P1,0.8356921837045209,-7
Data Driven Fast Monopole avg delay_P1,Overall Trigger Rate_P1,0.812159344037531,0
Data Driven Fast Monopole avg delay_P1,Periodic Calibration Pulser rate_P1,0.8711457518252521,1
Data Driven Fast Monopole avg delay_P1,SN message delay_P1,0.9552958354276783,-2
Data Driven Fast Monopole avg delay_P1,SN message rate_P1,0.9098307759826277,-6
Data Driven Fast Monopole avg delay_P1,SN processing delay_P1,0.8540212716425337,-1
Data Driven Fast Monopole avg delay_P1,SN triggering delay_P1,0.8610129082663261,-7
Data Driven Fast Monopole avg delay_P1,SNEWS Beat Fast rate_P1,0.8612354710696939,-5
Data Driven Fast Monopole avg length_P1,Data Driven Fast Monopole rate_P1,0.8566848258595329,5
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon avg decision_P1,0.8859758453066634,7
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon avg delay_P1,0.8875952370070055,6
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon avg length_P1,0.9344621385157588,0
Data Driven Fast Monopole avg length_P1,Data Driven Horizontal Muon rate_P1,0.8764494480068473,6
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron avg decision_P1,0.8885375683411679,0
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron avg delay_P1,0.8893701203637544,6
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron avg length_P1,0.8220924619900295,0
Data Driven Fast Monopole avg length_P1,Data Driven Neutron-Antineutron rate_P1,0.880627279581998,3
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople avg decision_P1,0.8648434008949,0
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople avg delay_P1,0.8658500699632615,8
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople avg length_P1,0.9007088164983468,7
Data Driven Fast Monopole avg length_P1,Data Driven Slow Monople rate_P1,0.825677708789246,9
Data Driven Fast Monopole avg length_P1,Data Driven Upmu avg decision_P1,0.8909258247459131,0
Data Driven Fast Monopole avg length_P1,Data Driven Upmu avg delay_P1,0.8912894688647617,7
Data Driven Fast Monopole avg length_P1,Data Driven Upmu avg length_P1,0.9289343000162666,0
Data Driven Fast Monopole avg length_P1,Data Driven Upmu rate_P1,0.8749353233077872,8
Data Driven Fast Monopole avg length_P1,LIGO Beat Fast rate_P1,0.818586858854765,-1
Data Driven Fast Monopole avg length_P1,Overall Trigger Rate_P1,0.8184259926124449,6
Data Driven Fast Monopole avg length_P1,Periodic Calibration Pulser rate_P1,0.8626476167112798,7
Data Driven Fast Monopole avg length_P1,SN datablock process rate_P1,0.7029933042682972,-1
Data Driven Fast Monopole avg length_P1,SN message delay_P1,0.8701645133663527,4
Data Driven Fast Monopole avg length_P1,SN message rate_P1,0.9162421178690068,0
Data Driven Fast Monopole avg length_P1,SN processing delay_P1,0.8365791484348541,6
Data Driven Fast Monopole avg length_P1,SN triggering delay_P1,0.8479549481205483,0
Data Driven Fast Monopole avg length_P1,SNEWS Beat Fast rate_P1,0.8405148330295952,1
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon avg decision_P1,0.8630658800106498,2
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon avg delay_P1,0.8650993870595725,1
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon avg length_P1,0.9191177425336736,-6
Data Driven Fast Monopole rate_P1,Data Driven Horizontal Muon rate_P1,0.8835378494793867,0
Data Driven Fast Monopole rate_P1,Data Driven Neutron-Antineutron avg decision_P1,0.8643000365527295,-5
Data Driven Fast Monopole rate_P1,Data Driven Neutron-Antineutron avg delay_P1,0.8662835193722632,1
Data Driven Fast Monopole rate_P1,Data Driven Neutron-Antineutron avg length_P1,0.8106509258234935,-6
Data Driven Fast Monopole rate_P1,Data Driven Neutron-Antineutron rate_P1,0.8859450660033379,-3
Data Driven Fast Monopole rate_P1,Data Driven Slow Monople avg decision_P1,0.8398760592871832,-5
Data Driven Fast Monopole rate_P1,Data Driven Slow Monople avg delay_P1,0.842129244814751,3
Data Driven Fast Monopole rate_P1,Data Driven Slow Monople avg length_P1,0.8884617479885216,1
Data Driven Fast Monopole rate_P1,Data Driven Slow Monople rate_P1,0.8303511486728413,2
Data Driven Fast Monopole rate_P1,Data Driven Upmu avg decision_P1,0.8652090831151662,-5
Data Driven Fast Monopole rate_P1,Data Driven Upmu avg delay_P1,0.866894774173301,2
Data Driven Fast Monopole rate_P1,Data Driven Upmu avg length_P1,0.9144127173685274,-6
Data Driven Fast Monopole rate_P1,Data Driven Upmu rate_P1,0.8655409323005762,2
Data Driven Fast Monopole rate_P1,LIGO Beat Fast rate_P1,0.8057851097530636,-6
Data Driven Fast Monopole rate_P1,Overall Trigger Rate_P1,0.8278672939581307,0
Data Driven Fast Monopole rate_P1,Periodic Calibration Pulser rate_P1,0.8502860445408179,2
Data Driven Fast Monopole rate_P1,SN datablock process rate_P1,0.7016579022008215,-7
Data Driven Fast Monopole rate_P1,SN message delay_P1,0.8469814007917611,-1
Data Driven Fast Monopole rate_P1,SN message rate_P1,0.92033846027477,-6
Data Driven Fast Monopole rate_P1,SN processing delay_P1,0.826153938254469,0
Data Driven Fast Monopole rate_P1,SN triggering delay_P1,0.8376348290745567,-6
Data Driven Fast Monopole rate_P1,SNEWS Beat Fast rate_P1,0.8289747340274574,-4
Data Driven Horizontal Muon avg decision_P1,Data Driven Horizontal Muon avg delay_P1,0.9990805600941665,-1
Data Driven Horizontal Muon avg decision_P1,Data Driven Horizontal Muon avg length_P1,0.9489643850633396,-7
Data Driven Horizontal Muon avg decision_P1,Data Driven Horizontal Muon rate_P1,0.8623071785195242,-1
Data Driven Horizontal Muon avg decision_P1,Data Driven Neutron-Antineutron avg decision_P1,0.9805505394280798,-7
Data Driven Horizontal Muon avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,0.9804221239351425,-1
Data Driven Horizontal Muon avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,0.8378299443948989,-7
Data Driven Horizontal Muon avg decision_P1,Data Driven Neutron-Antineutron rate_P1,0.8613132048994961,-4
Data Driven Horizontal Muon avg decision_P1,Data Driven Slow Monople avg decision_P1,0.956409167384364,-7
Data Driven Horizontal Muon avg decision_P1,Data Driven Slow Monople avg delay_P1,0.9564387520915044,1
Data Driven Horizontal Muon avg decision_P1,Data Driven Slow Monople avg length_P1,0.9194338269375195,0
Data Driven Horizontal Muon avg decision_P1,Data Driven Slow Monople rate_P1,0.8142677909046621,0
Data Driven Horizontal Muon avg decision_P1,Data Driven Upmu avg decision_P1,0.9706622913777538,-7
Data Driven Horizontal Muon avg decision_P1,Data Driven Upmu avg delay_P1,0.9713511585017918,0
Data Driven Horizontal Muon avg decision_P1,Data Driven Upmu avg length_P1,0.9438397033290231,-7
Data Driven Horizontal Muon avg decision_P1,Data Driven Upmu rate_P1,0.8961696517884727,0
Data Driven Horizontal Muon avg decision_P1,LIGO Beat Fast rate_P1,0.8408456522761643,-8
Data Driven Horizontal Muon avg decision_P1,Overall Trigger Rate_P1,0.8131738200734061,-1
Data Driven Horizontal Muon avg decision_P1,Periodic Calibration Pulser rate_P1,0.8746431400269499,0
Data Driven Horizontal Muon avg decision_P1,SN message delay_P1,0.9703411385050236,-3
Data Driven Horizontal Muon avg decision_P1,SN message rate_P1,0.9092070265249887,-8
Data Driven Horizontal Muon avg decision_P1,SN processing delay_P1,0.8564216072864754,-3
Data Driven Horizontal Muon avg decision_P1,SN triggering delay_P1,0.8634530609155505,-10
Data Driven Horizontal Muon avg decision_P1,SNEWS Beat Fast rate_P1,0.8646616325048078,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Horizontal Muon avg length_P1,0.9507652537918541,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Horizontal Muon rate_P1,0.8660019469342702,0
Data Driven Horizontal Muon avg delay_P1,Data Driven Neutron-Antineutron avg decision_P1,0.9804684180935563,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Neutron-Antineutron avg delay_P1,0.9814002521582081,0
Data Driven Horizontal Muon avg delay_P1,Data Driven Neutron-Antineutron avg length_P1,0.8393133455941396,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Neutron-Antineutron rate_P1,0.8648824922802599,-3
Data Driven Horizontal Muon avg delay_P1,Data Driven Slow Monople avg decision_P1,0.9560594396791631,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Slow Monople avg delay_P1,0.956263813030008,2
Data Driven Horizontal Muon avg delay_P1,Data Driven Slow Monople avg length_P1,0.9202028980225598,1
Data Driven Horizontal Muon avg delay_P1,Data Driven Slow Monople rate_P1,0.8157669824130994,1
Data Driven Horizontal Muon avg delay_P1,Data Driven Upmu avg decision_P1,0.9706536216419146,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Upmu avg delay_P1,0.9706131903386472,1
Data Driven Horizontal Muon avg delay_P1,Data Driven Upmu avg length_P1,0.9456435844401507,-6
Data Driven Horizontal Muon avg delay_P1,Data Driven Upmu rate_P1,0.8961427396763637,1
Data Driven Horizontal Muon avg delay_P1,LIGO Beat Fast rate_P1,0.8424355824785857,-7
Data Driven Horizontal Muon avg delay_P1,Overall Trigger Rate_P1,0.816814306086446,0
Data Driven Horizontal Muon avg delay_P1,Periodic Calibration Pulser rate_P1,0.8752462997475439,1
Data Driven Horizontal Muon avg delay_P1,SN message delay_P1,0.9702049230348383,-2
Data Driven Horizontal Muon avg delay_P1,SN message rate_P1,0.9119635275091575,-7
Data Driven Horizontal Muon avg delay_P1,SN processing delay_P1,0.8562879672825013,0
Data Driven Horizontal Muon avg delay_P1,SN triggering delay_P1,0.8629878618972822,-9
Data Driven Horizontal Muon avg delay_P1,SNEWS Beat Fast rate_P1,0.8662993265939558,-5
Data Driven Horizontal Muon avg length_P1,Data Driven Horizontal Muon rate_P1,0.9361717155618504,6
Data Driven Horizontal Muon avg length_P1,Data Driven Neutron-Antineutron avg decision_P1,0.9505857673804343,0
Data Driven Horizontal Muon avg length_P1,Data Driven Neutron-Antineutron avg delay_P1,0.9514611545459848,6
Data Driven Horizontal Muon avg length_P1,Data Driven Neutron-Antineutron avg length_P1,0.8810239165913841,0
Data Driven Horizontal Muon avg length_P1,Data Driven Neutron-Antineutron rate_P1,0.9410552370611314,3
Data Driven Horizontal Muon avg length_P1,Data Driven Slow Monople avg decision_P1,0.9255710744417942,0
Data Driven Horizontal Muon avg length_P1,Data Driven Slow Monople avg delay_P1,0.9267363742497184,8
Data Driven Horizontal Muon avg length_P1,Data Driven Slow Monople avg length_P1,0.9646754371989988,7
Data Driven Horizontal Muon avg length_P1,Data Driven Slow Monople rate_P1,0.8813329413617781,8
Data Driven Horizontal Muon avg length_P1,Data Driven Upmu avg decision_P1,0.9514040797035486,0
Data Driven Horizontal Muon avg length_P1,Data Driven Upmu avg delay_P1,0.9518527128569646,7
Data Driven Horizontal Muon avg length_P1,Data Driven Upmu avg length_P1,0.9938683025841062,0
Data Driven Horizontal Muon avg length_P1,Data Driven Upmu rate_P1,0.9349744814762132,8
Data Driven Horizontal Muon avg length_P1,LIGO Beat Fast rate_P1,0.8741406447414135,-1
Data Driven Horizontal Muon avg length_P1,Overall Trigger Rate_P1,0.8754475050093018,6
Data Driven Horizontal Muon avg length_P1,Periodic Calibration Pulser rate_P1,0.9201001920485007,7
Data Driven Horizontal Muon avg length_P1,SN datablock process rate_P1,0.7472030044344155,-1
Data Driven Horizontal Muon avg length_P1,SN message delay_P1,0.9306598080762319,4
Data Driven Horizontal Muon avg length_P1,SN message rate_P1,0.9792391376857932,0
Data Driven Horizontal Muon avg length_P1,SN processing delay_P1,0.89081076944243,5
Data Driven Horizontal Muon avg length_P1,SN triggering delay_P1,0.9026869079076053,0
Data Driven Horizontal Muon avg length_P1,SNEWS Beat Fast rate_P1,0.8966124962430965,1
Data Driven Horizontal Muon rate_P1,Data Driven Neutron-Antineutron avg decision_P1,0.8635113202780826,-6
Data Driven Horizontal Muon rate_P1,Data Driven Neutron-Antineutron avg delay_P1,0.8675142477858875,0
Data Driven Horizontal Muon rate_P1,Data Driven Neutron-Antineutron avg length_P1,0.822327235170644,-7
Data Driven Horizontal Muon rate_P1,Data Driven Neutron-Antineutron rate_P1,0.9315790568428157,-3
Data Driven Horizontal Muon rate_P1,Data Driven Slow Monople avg decision_P1,0.8357384249412912,-6
Data Driven Horizontal Muon rate_P1,Data Driven Slow Monople avg delay_P1,0.8391806995623666,2
Data Driven Horizontal Muon rate_P1,Data Driven Slow Monople avg length_P1,0.9031627686862652,1
Data Driven Horizontal Muon rate_P1,Data Driven Slow Monople rate_P1,0.8696032510269986,2
Data Driven Horizontal Muon rate_P1,Data Driven Upmu avg decision_P1,0.8725574494606083,-6
Data Driven Horizontal Muon rate_P1,Data Driven Upmu avg delay_P1,0.8748018193200576,1
Data Driven Horizontal Muon rate_P1,Data Driven Upmu avg length_P1,0.9306572715782127,-6
Data Driven Horizontal Muon rate_P1,Data Driven Upmu rate_P1,0.8760366222129539,2
Data Driven Horizontal Muon rate_P1,LIGO Beat Fast rate_P1,0.8173943468086926,-7
Data Driven Horizontal Muon rate_P1,Overall Trigger Rate_P1,0.8544952224896437,0
Data Driven Horizontal Muon rate_P1,Periodic Calibration Pulser rate_P1,0.8653574704032875,2
Data Driven Horizontal Muon rate_P1,SN datablock process rate_P1,0.7265912048375899,-7
Data Driven Horizontal Muon rate_P1,SN message delay_P1,0.839667876558648,-2
Data Driven Horizontal Muon rate_P1,SN message rate_P1,0.9587179965188187,-6
Data Driven Horizontal Muon rate_P1,SN processing delay_P1,0.8471029613189975,0
Data Driven Horizontal Muon rate_P1,SN triggering delay_P1,0.8602543481930225,-6
Data Driven Horizontal Muon rate_P1,SNEWS Beat Fast rate_P1,0.8356758760125416,-4
Data Driven Michel avg decision_P1,Data Driven Michel avg delay_P1,0.9999978770175666,0
Data Driven Michel avg decision_P1,Data Driven Michel avg length_P1,0.9075369682461388,0
Data Driven Michel avg decision_P1,Data Driven Michel rate_P1,0.8954836059101807,0
Data Driven Michel avg delay_P1,Data Driven Michel avg length_P1,0.9075269569445944,0
Data Driven Michel avg delay_P1,Data Driven Michel rate_P1,0.8954681624956327,0
Data Driven Michel avg length_P1,Data Driven Michel rate_P1,0.8602103491094436,0
Data Driven Moon avg decision_P1,Data Driven Moon avg delay_P1,0.9999999995984173,0
Data Driven Moon avg decision_P1,Data Driven Moon avg length_P1,0.989779836105744,0
Data Driven Moon avg decision_P1,Data Driven Moon rate_P1,0.8320563208852518,0
Data Driven Moon avg delay_P1,Data Driven Moon avg length_P1,0.9897788880657723,0
Data Driven Moon avg delay_P1,Data Driven Moon rate_P1,0.8320510950239659,0
Data Driven Moon avg length_P1,Data Driven Moon rate_P1,0.8408642567126285,0
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,0.9990236839699888,6
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,0.838268716420609,0
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Neutron-Antineutron rate_P1,0.8634163752807071,3
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Slow Monople avg decision_P1,0.9599384142979324,0
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Slow Monople avg delay_P1,0.9592489425143229,8
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Slow Monople avg length_P1,0.9202218870887908,7
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Slow Monople rate_P1,0.8108238784542403,8
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Upmu avg decision_P1,0.9740502525894555,0
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Upmu avg delay_P1,0.9730114913799344,7
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Upmu avg length_P1,0.9454109623960493,0
Data Driven Neutron-Antineutron avg decision_P1,Data Driven Upmu rate_P1,0.8961434799992422,7
Data Driven Neutron-Antineutron avg decision_P1,LIGO Beat Fast rate_P1,0.8418382115959614,-1
Data Driven Neutron-Antineutron avg decision_P1,Overall Trigger Rate_P1,0.8147086655237126,6
Data Driven Neutron-Antineutron avg decision_P1,Periodic Calibration Pulser rate_P1,0.8742875754558624,7
Data Driven Neutron-Antineutron avg decision_P1,SN message delay_P1,0.9734345661389564,4
Data Driven Neutron-Antineutron avg decision_P1,SN message rate_P1,0.9119521096521501,0
Data Driven Neutron-Antineutron avg decision_P1,SN processing delay_P1,0.8556665989984316,5
Data Driven Neutron-Antineutron avg decision_P1,SN triggering delay_P1,0.8626885409764166,0
Data Driven Neutron-Antineutron avg decision_P1,SNEWS Beat Fast rate_P1,0.8653917735255203,1
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Neutron-Antineutron avg length_P1,0.838978619993076,-6
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Neutron-Antineutron rate_P1,0.8673027887878967,-3
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Slow Monople avg decision_P1,0.9587356923737194,-6
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Slow Monople avg delay_P1,0.9589998688081076,2
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Slow Monople avg length_P1,0.9220616068948456,1
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Slow Monople rate_P1,0.8138931007963776,2
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Upmu avg decision_P1,0.9731995666671913,-6
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Upmu avg delay_P1,0.9731161199313261,1
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Upmu avg length_P1,0.9462948736313797,-6
Data Driven Neutron-Antineutron avg delay_P1,Data Driven Upmu rate_P1,0.8970140224536118,1
Data Driven Neutron-Antineutron avg delay_P1,LIGO Beat Fast rate_P1,0.8434663013766197,-7
Data Driven Neutron-Antineutron avg delay_P1,Overall Trigger Rate_P1,0.818550634906688,0
Data Driven Neutron-Antineutron avg delay_P1,Periodic Calibration Pulser rate_P1,0.8759470076766035,1
Data Driven Neutron-Antineutron avg delay_P1,SN message delay_P1,0.9731404861074827,-2
Data Driven Neutron-Antineutron avg delay_P1,SN message rate_P1,0.9143437152220487,-7
Data Driven Neutron-Antineutron avg delay_P1,SN processing delay_P1,0.8553789630530965,0
Data Driven Neutron-Antineutron avg delay_P1,SN triggering delay_P1,0.8625795168479456,-7
Data Driven Neutron-Antineutron avg delay_P1,SNEWS Beat Fast rate_P1,0.867051601896238,-5
Data Driven Neutron-Antineutron avg length_P1,Data Driven Neutron-Antineutron rate_P1,0.8265667153669404,3
Data Driven Neutron-Antineutron avg length_P1,Data Driven Slow Monople avg decision_P1,0.816840135046022,0
Data Driven Neutron-Antineutron avg length_P1,Data Driven Slow Monople avg delay_P1,0.8179117693575442,8
Data Driven Neutron-Antineutron avg length_P1,Data Driven Slow Monople avg length_P1,0.8506862354287276,7
Data Driven Neutron-Antineutron avg length_P1,Data Driven Slow Monople rate_P1,0.7754865757768461,8
Data Driven Neutron-Antineutron avg length_P1,Data Driven Upmu avg decision_P1,0.8402826939787843,0
Data Driven Neutron-Antineutron avg length_P1,Data Driven Upmu avg delay_P1,0.8407260542492794,7
Data Driven Neutron-Antineutron avg length_P1,Data Driven Upmu avg length_P1,0.8756821840563263,0
Data Driven Neutron-Antineutron avg length_P1,Data Driven Upmu rate_P1,0.8256864130195862,8
Data Driven Neutron-Antineutron avg length_P1,LIGO Beat Fast rate_P1,0.7755867151025342,-1
Data Driven Neutron-Antineutron avg length_P1,Overall Trigger Rate_P1,0.7660406969618978,6
Data Driven Neutron-Antineutron avg length_P1,Periodic Calibration Pulser rate_P1,0.8116467353341391,8
Data Driven Neutron-Antineutron avg length_P1,SN message delay_P1,0.8215864789631484,4
Data Driven Neutron-Antineutron avg length_P1,SN message rate_P1,0.8618471958165751,0
Data Driven Neutron-Antineutron avg length_P1,SN processing delay_P1,0.7855355107678931,5
Data Driven Neutron-Antineutron avg length_P1,SN triggering delay_P1,0.795848405684446,-1
Data Driven Neutron-Antineutron avg length_P1,SNEWS Beat Fast rate_P1,0.791186718281845,2
Data Driven Neutron-Antineutron rate_P1,Data Driven Slow Monople avg decision_P1,0.8343287822598363,-3
Data Driven Neutron-Antineutron rate_P1,Data Driven Slow Monople avg delay_P1,0.8383318577121468,5
Data Driven Neutron-Antineutron rate_P1,Data Driven Slow Monople avg length_P1,0.9086324851581127,4
Data Driven Neutron-Antineutron rate_P1,Data Driven Slow Monople rate_P1,0.8789301000393926,5
Data Driven Neutron-Antineutron rate_P1,Data Driven Upmu avg decision_P1,0.8698180634173399,-3
Data Driven Neutron-Antineutron rate_P1,Data Driven Upmu avg delay_P1,0.8727971732859314,4
Data Driven Neutron-Antineutron rate_P1,Data Driven Upmu avg length_P1,0.9347930527663783,-3
Data Driven Neutron-Antineutron rate_P1,Data Driven Upmu rate_P1,0.8791303519512981,5
Data Driven Neutron-Antineutron rate_P1,LIGO Beat Fast rate_P1,0.8182542840463686,-3
Data Driven Neutron-Antineutron rate_P1,Overall Trigger Rate_P1,0.8658480956019257,3
Data Driven Neutron-Antineutron rate_P1,Periodic Calibration Pulser rate_P1,0.8675382291767789,5
Data Driven Neutron-Antineutron rate_P1,SN datablock process rate_P1,0.7280741942484743,-4
Data Driven Neutron-Antineutron rate_P1,SN message delay_P1,0.8398302997335076,0
Data Driven Neutron-Antineutron rate_P1,SN message rate_P1,0.9662082563458814,-3
Data Driven Neutron-Antineutron rate_P1,SN processing delay_P1,0.8366808084014135,3
Data Driven Neutron-Antineutron rate_P1,SN triggering delay_P1,0.8513551459064875,-2
Data Driven Neutron-Antineutron rate_P1,SNEWS Beat Fast rate_P1,0.8366176929473386,-2
Data Driven Numu avg decision_P1,Data Driven Numu avg delay_P1,0.9999999269075337,0
Data Driven Slow Monople avg decision_P1,Data Driven Slow Monople avg delay_P1,0.9990281068858752,8
Data Driven Slow Monople avg decision_P1,Data Driven Slow Monople avg length_P1,0.8939086177279015,7
Data Driven Slow Monople avg decision_P1,Data Driven Slow Monople rate_P1,0.7844806379631194,8
Data Driven Slow Monople avg decision_P1,Data Driven Upmu avg decision_P1,0.9504421718568908,0
Data Driven Slow Monople avg decision_P1,Data Driven Upmu avg delay_P1,0.9492208854415445,7
Data Driven Slow Monople avg decision_P1,Data Driven Upmu avg length_P1,0.9202596117786591,0
Data Driven Slow Monople avg decision_P1,Data Driven Upmu rate_P1,0.8759680545266777,7
Data Driven Slow Monople avg decision_P1,LIGO Beat Fast rate_P1,0.8173497045637013,-2
Data Driven Slow Monople avg decision_P1,Overall Trigger Rate_P1,0.7878339163029202,6
Data Driven Slow Monople avg decision_P1,Periodic Calibration Pulser rate_P1,0.8511550444470821,7
Data Driven Slow Monople avg decision_P1,SN message delay_P1,0.9499725821121077,4
Data Driven Slow Monople avg decision_P1,SN message rate_P1,0.8821785747088245,0
Data Driven Slow Monople avg decision_P1,SN processing delay_P1,0.8348681700375001,5
Data Driven Slow Monople avg decision_P1,SN triggering delay_P1,0.8411687811239069,-1
Data Driven Slow Monople avg decision_P1,SNEWS Beat Fast rate_P1,0.8416809263805087,1
Data Driven Slow Monople avg delay_P1,Data Driven Slow Monople avg length_P1,0.8962480785112245,-1
