Field1,Field2,Cross_Correlation,Lag
DAQ Status Block rate_P1,SNEWS Beat Fast rate_P1,0.9661885812843485,0
DAQ Status Block rate_P1,Spill Trigger Avg Delay_P1,0.7076734535403602,-2
Data Driven Contained Vertex avg decision_P1,Data Driven Contained Vertex avg delay_P1,0.9989436445636717,3
Data Driven Contained Vertex avg decision_P1,Data Driven Contained Vertex avg length_P1,0.951115924973528,3
Data Driven Contained Vertex avg decision_P1,Data Driven Contained Vertex rate_P1,0.8612526049899497,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Energy avg decision_P1,0.9710007746061926,2
Data Driven Contained Vertex avg decision_P1,Data Driven Energy avg delay_P1,0.970676820054263,2
Data Driven Contained Vertex avg decision_P1,Data Driven Energy rate_P1,0.8977123000622359,0
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole avg decision_P1,0.9677887532998247,1
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole avg delay_P1,0.9674359071238777,1
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole avg length_P1,0.8901493876826373,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Fast Monopole rate_P1,0.8663964498870842,0
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon avg decision_P1,0.981877769851513,2
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon avg delay_P1,0.981784101688203,1
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon avg length_P1,0.9515597722733703,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Horizontal Muon rate_P1,0.8639432198244554,0
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron avg decision_P1,0.9856816997393482,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron avg delay_P1,0.985413038775456,1
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron avg length_P1,0.8400180638917273,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Neutron-Antineutron rate_P1,0.8645699689976553,-2
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople avg decision_P1,0.9608960549636106,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople avg delay_P1,0.9604605985181661,3
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople avg length_P1,0.9214807442281017,2
Data Driven Contained Vertex avg decision_P1,Data Driven Slow Monople rate_P1,0.8119526400158237,2
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu avg decision_P1,0.9756513028885949,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu avg delay_P1,0.9753899922255715,2
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu avg length_P1,0.9462194664230783,-5
Data Driven Contained Vertex avg decision_P1,Data Driven Upmu rate_P1,0.8989837222157298,2
Data Driven Contained Vertex avg decision_P1,LIGO Beat Fast rate_P1,0.8435152556739686,-6
Data Driven Contained Vertex avg decision_P1,Overall Trigger Rate_P1,0.8153522543313695,0
Data Driven Contained Vertex avg decision_P1,Periodic Calibration Pulser rate_P1,0.875841322327466,2
Data Driven Contained Vertex avg decision_P1,SN message delay_P1,0.9734817868270286,-1
Data Driven Contained Vertex avg decision_P1,SN message rate_P1,0.9126963961017607,-6
Data Driven Contained Vertex avg decision_P1,SN processing delay_P1,0.86115255662135,0
Data Driven Contained Vertex avg decision_P1,SN triggering delay_P1,0.8667718994943222,-6
Data Driven Contained Vertex avg decision_P1,SNEWS Beat Fast rate_P1,0.8688765913697646,-4
Data Driven Contained Vertex avg delay_P1,Data Driven Contained Vertex avg length_P1,0.9541221050740261,0
Data Driven Contained Vertex avg delay_P1,Data Driven Contained Vertex rate_P1,0.8652289098593754,-8
Data Driven Contained Vertex avg delay_P1,Data Driven Energy avg decision_P1,0.9710243157408238,-1
Data Driven Contained Vertex avg delay_P1,Data Driven Energy avg delay_P1,0.9709705371007084,-1
Data Driven Contained Vertex avg delay_P1,Data Driven Energy rate_P1,0.8989318970639083,-3
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole avg decision_P1,0.9678331695825259,-2
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole avg delay_P1,0.9677539207153311,-2
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole avg length_P1,0.892038280832215,-8
Data Driven Contained Vertex avg delay_P1,Data Driven Fast Monopole rate_P1,0.8678421086371998,-3
Data Driven Contained Vertex avg delay_P1,Data Driven Horizontal Muon avg decision_P1,0.9816299341592187,-1
